[2026-05-25] BACKUP SKIPPED: No new work in last 24 hours

[2026-05-25] BACKUP SKIPPED: No new work in last 24 hours

[2026-05-25] BACKUP SUCCESS: 81 citations backed up. New citations: 1

[2026-05-25] CITATIONS LOG:
sr_no,citation,category_name,details,year,user_name,created_at,updated_at
1,PLD 2026 KARACHI 47,Alibi,Hello testing testing testing microphone testing,2026,Admin,2026-05-25 17:20:46,2026-05-25 17:20:46
2,2026 SCMR 308,Appeal,"S. 428 CrPC: 
Additional Evidence:

Appellate Court cannot remand matter to decide afresh after taking additional evidence.

2026 SCMR 308",2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
3,2026 YLR 476,Appeal,In an appeal against the order of acquittal it has to be proved that the acquittal order is fanciful and against the law. The acquittal order shall be cancelled only in extraordinary and exceptional circumstances.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-17 11:58:04
4,2026 SCMR 163,Appreciation of Evidence,The blackening on the margins of an entry wound can be caused by a long-range rifle.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
5,2026 YLR 361 Lahore,Appreciation of Evidence,Blood grouping or DNA test was not conducted despite blood stains being available on the recovered crime weapon. Therefore the recovery has no evidentiary value.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
6,2026 YLR 513 Lahore,Appreciation of Evidence,The plea taken by the accused before the Investigating Officer is admissible in evidence under Article 27 of Qanoon-e-Shahadat.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
7,2026 YLR 386/485 Lahore,Appreciation of Evidence,The co-accused of the appellant was acquitted on the basis of the same evidence; therefore the appellant was also acquitted.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
8,2026 YLR 485 Lahore,Appreciation of Evidence,"The brother of the deceased is an interested witness while the other witnesses are chance witnesses because they are not residents of the same locality. The IO also declared some nominated accused innocent but the complainant did not challenge the investigation, which creates doubt. Accused acquitted.",2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
9,PLD 2026 LAHORE 47,Appreciation of Evidence,COC must be proved through oral and documentary evidence. Further that all the evidence must be put to the accused in his statement under section 342 CRPC.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
10,2026 SCMR251,Appreciation of Evidence,"PPC 302: 
Rigor Mortis: it starts within 2 to 4 hours and completed in 12 hours in normal temperature. It may become cause to create doubt in the presence of eye witnesses during the occurrence. 

2026 SCMR 251",2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
11,2026 SCMR 205,Appreciation of Evidence,"PPC 302: 
Quantum of sentence: 
Murder of a women: single fire shot at chest disclose intention of the assailant and he deserves no leniency in sentence. 

2026 SCMR 205 
2005 SCMR 427",2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
12,PLD 2026 SC 126,Appreciation of Evidence,"Interview During Police Custody: 

Admission by the accused before a journalist during police custody is inadmissible in evidence and cannot be relied upon.

PLD 2026 SC 126",2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
13,2026 PLD 126 SC,Appreciation of Evidence,The accused confessed before a press reporter during his interview while in custody. This confession has no value because only the magistrate is competent to record the confession.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
14,2026 PCRLJ 201 Lahore,Appreciation of Evidence,One accused was acquitted on the basis of the same evidence. The appeal of his co-accused was dismissed because an overt act was committed by the said accused.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
15,2026 PCRLJ 239 Peshawar,Appreciation of Evidence,The accused made confession before the magistrate that he had committed the murder of his wife. During trial he refused that he was ever produced before the magistrate but this fact was not confirmed from the evidence produced before the court. Appeal dismissed.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
16,2026 MLD 221 Lahore,Appreciation of Evidence,A single doubt in the investigation of the prosecution is sufficient to acquit the accused.,2026,system@citations.app,2026-05-05 16:51:41,2026-05-09 10:44:26
